origin,destination,dist_od
ABW,ABW,3.1375455886854478
ABW,AFG,9.485421130321692
ABW,AGO,9.16787045788202
ABW,AIA,6.884375693993614
ABW,ALB,9.115091450295541
ABW,AND,8.93195931070428
ABW,ANT,4.961853229894019
ABW,ARE,9.455084932527951
ABW,ARG,8.548134726562257
ABW,ARM,9.315309210938706
ABW,ATG,6.918084745874945
ABW,AUS,9.65746552334364
ABW,AUT,9.063118201167864
ABW,AZE,9.343201164798911
ABW,BDI,9.318172730112671
ABW,BEL,8.967377458225762
ABW,BEN,8.976542009220617
ABW,BFA,8.901942263197176
ABW,BGD,9.647659381198253
ABW,BGR,9.155847649081817
ABW,BHR,9.417109795965644
ABW,BHS,7.395195380542806
ABW,BIH,9.092449568013004
ABW,BLR,9.150129539537113
ABW,BLZ,7.631180905690445
ABW,BMU,7.729916853370477
ABW,BOL,8.117869287452603
ABW,BRA,8.359885132308891
ABW,BRB,7.027860061741049
ABW,BRN,9.800497004063951
ABW,BTN,9.622863844451793
ABW,BWA,9.321667949258549
ABW,CAF,9.182516863241585
ABW,CAN,8.318821030077185
ABW,CCK,
ABW,CHE,8.996343610941086
ABW,CHL,8.522905047662443
ABW,CHN,9.586052552335
ABW,CIV,8.880750994044993
ABW,CMR,9.098804271029369
ABW,COG,9.156318410792764
ABW,COK,9.256945293097411
ABW,COL,6.7583792490177075
ABW,COM,9.460216989324392
ABW,CPV,8.509276134060805
ABW,CRI,7.359342869173747
ABW,CUB,7.2564531908324215
ABW,CXR,
ABW,CYM,7.270084606719777
ABW,CYP,9.24942742235084
ABW,CZE,9.063772370839342
ABW,DEU,9.015312227340221
ABW,DJI,9.407146518771091
ABW,DMA,6.891665936901054
ABW,DNK,9.027742256943524
ABW,DOM,6.545167028715752
ABW,DZA,8.949208437877616
ABW,ECU,7.530396300756126
ABW,EGY,9.245843606938758
ABW,ERI,9.36445876556796
ABW,ESH,8.713080811644513
ABW,ESP,8.8778065296886
ABW,EST,9.120418071447487
ABW,ETH,9.375808199197976
ABW,FIN,9.111138850713939
ABW,FJI,9.450769660383864
ABW,FLK,8.88798210306132
ABW,FRA,8.950510792478953
ABW,FRO,8.910719852343691
ABW,FSM,9.599738426835296
ABW,GAB,9.096853482155506
ABW,GBR,8.919983258122716
ABW,GEO,9.302369721191278
ABW,GHA,8.938474035472526
ABW,GIB,8.843661700044395
ABW,GIN,8.739201538630024
ABW,GLP,6.9071457932834575
ABW,GMB,8.666369462217654
ABW,GNB,8.685568111084972
ABW,GNQ,9.082488591205939
ABW,GRC,9.154487858018863
ABW,GRD,6.804623389202893
ABW,GRL,8.724460336929486
ABW,GTM,7.7193115214253725
ABW,GUF,7.629392243985716
ABW,GUY,7.287847192956843
ABW,HKG,9.68857317351329
ABW,HND,7.559352074810073
ABW,HRV,9.075634804563883
ABW,HTI,6.60559016511487
ABW,HUN,9.098251270068129
ABW,IDN,9.8544622107146
ABW,IND,9.598107117269924
ABW,IRL,8.87103175663328
ABW,IRN,9.386819059070211
ABW,IRQ,9.344911473915607
ABW,ISL,8.832906589431204
ABW,ISR,9.27259942209258
ABW,ITA,9.038643334560815
ABW,JAM,6.883707228616895
ABW,JOR,9.281270299491487
ABW,JPN,9.542316085802648
ABW,KAZ,9.413010158832043
ABW,KEN,9.384226449949036
ABW,KGZ,9.46736347472407
ABW,KHM,9.755832314908634
ABW,KIR,9.453495940427695
ABW,KNA,6.883983659647245
ABW,KOR,9.56516039661533
ABW,KWT,9.385988041176468
ABW,LAO,9.71537928498044
ABW,LBN,9.271894444072794
ABW,LBR,8.790495265508168
ABW,LBY,9.092452268300349
ABW,LCA,6.896899164030382
ABW,LKA,9.683413036910327
ABW,LSO,9.343626609552663
ABW,LTU,9.118341194748208
ABW,LUX,8.981892527740502
ABW,LVA,9.117171897083718
ABW,MAC,
ABW,MAR,8.820791968383665
ABW,MDA,9.175050857525653
ABW,MDG,9.497539077625051
ABW,MDV,9.65443178584332
ABW,MEX,8.141263195948632
ABW,MHL,9.475229906801314
ABW,MKD,9.128875837318883
ABW,MLI,8.823581996773592
ABW,MLT,9.07241706327771
ABW,MMR,9.698879895177534
ABW,MNG,9.495436604022535
ABW,MNP,9.618840203981506
ABW,MOZ,9.396382498857507
ABW,MRT,8.68670100169252
ABW,MSR,
ABW,MTQ,6.906328361419322
ABW,MUS,9.573780679149062
ABW,MWI,9.383002089053667
ABW,MYS,9.800360651613719
ABW,NAM,9.233596831841519
