iso3,year,gdp_pc,pop,urban,unemp,political_stability
ABW,2019,10.311686508435281,11.600963814443052,43.546,,1.3358073234558105
ABW,2020,10.344841067373563,11.595306973976017,43.697,,1.3715912103652954
ABW,2021,10.036965982761496,11.58710486314448,43.866,,1.4317266941070557
ABW,2022,10.21097449784763,11.583477120921174,44.052,,1.4830797910690308
ADO,2019,,,,,1.5773667097091675
ADO,2020,,,,,1.5886753797531128
ADO,2021,,,,,1.5812593698501587
ADO,2022,,,,,1.5859884023666382
AFE,2019,7.338824245620578,20.331629946381128,36.38427228781498,7.360513104433302,
AFE,2020,7.30909049635262,20.35862510735566,36.88403448173588,7.584418799099279,
AFE,2021,7.20348231128416,20.385119498999224,37.39363252917165,8.191394911274141,
AFE,2022,7.3280389449743595,20.411047043519197,37.90901202118315,8.577384992317613,
AFG,2019,6.197130697311606,17.44930324207805,25.754,11.196,-2.6525397300720215
AFG,2020,6.207789915869446,17.480839334107248,26.026,11.185,-2.702721118927002
AFG,2021,6.235952797617644,17.504400312025165,26.314,11.71,-2.5186760425567627
AFG,2022,5.876323620207197,17.518757355730035,26.616,11.994,-2.5449559688568115
AFW,2019,7.450161124360333,19.95402656424478,47.32261735761257,4.32363095413829,
AFW,2020,7.494619676828457,19.97791832128815,47.93102095757971,4.395271210761934,
AFW,2021,7.426572484103591,20.001556611037678,48.531971059046455,4.852392700551304,
AFW,2022,7.476446779465005,20.02487931497649,49.12980798683633,4.736731762373329,
AGO,2019,7.839364635879906,17.29291659902896,66.177,16.594,-0.3684116005897522
AGO,2020,7.691590936656624,17.325596185520457,66.825,16.497,-0.5999178886413574
AGO,2021,7.2792656386156125,17.357409411519967,67.46,16.69,-0.7104807496070862
AGO,2022,7.563135512785443,17.388839672724426,68.081,15.799,-0.6301085352897644
AIA,2019,,,,,1.3170461654663086
AIA,2020,,,,,1.5038427114486694
AIA,2021,,,,,1.52878737449646
AIA,2022,,,,,1.1231739521026611
ALB,2019,8.58774276029073,14.864298998395611,61.229,12.304,0.11010505259037018
ALB,2020,8.605282913376637,14.858556928803171,62.112,11.466,0.08861251920461655
ALB,2021,8.588727962789456,14.849287748186777,62.969,11.69,0.196371927857399
ALB,2022,8.766126557394573,14.837129844985524,63.799,11.474,0.10626131296157837
AND,2019,10.66475529776182,11.244706092764927,87.984,,
AND,2020,10.627595575918455,11.256483628254504,87.916,,
AND,2021,10.528385069291275,11.269119917207922,87.858,,
AND,2022,10.655509582026047,11.286087598067747,87.811,,
ANT,2019,,,,,
ANT,2020,,,,,
ANT,2021,,,,,
ANT,2022,,,,,
ARB,2019,8.805107746044868,19.911968512103957,58.20454210605278,10.659739634992878,
ARB,2020,8.800639116233855,19.932997964393632,58.496674130508886,10.216098023831073,
ARB,2021,8.65215773077564,19.948141719129712,58.66292660214408,11.32561254166228,
ARB,2022,8.807129064919488,19.971115858951595,59.05426701714086,10.88965878375747,
ARE,2019,10.729631604872843,16.061079168222147,86.789,2.236,0.6675384044647217
ARE,2020,10.697643511814364,16.0563306666757,87.048,2.331,0.5926053524017334
ARE,2021,10.523361519608008,16.074681967578613,87.299,4.294,0.5975721478462219
ARE,2022,10.677293122740085,16.125565382916005,87.543,3.105,0.7441833019256592
ARG,2019,9.371846779892266,17.621583207146163,91.991,9.22,-0.09782309085130692
ARG,2020,9.205928131021869,17.62642986351358,92.111,9.843,-0.07199740409851074
ARG,2021,9.052000858895653,17.629088657464038,92.229,11.461,0.000530058634467423
ARG,2022,9.28154580003853,17.631196744774766,92.347,8.736,-0.09859433025121689
ARM,2019,8.341888309605302,14.901544064425524,63.219,18.966,-0.4200249910354614
ARM,2020,8.4332089822535,14.901206454699157,63.313,18.304,-0.7716448903083801
ARM,2021,8.359060143521054,14.90147655159806,63.431,18.175,-0.8040410280227661
ARM,2022,8.45215960829652,14.903803114225529,63.573,15.469,-0.7407562732696533
ASM,2019,9.43763965122987,10.823949572479094,87.147,,1.1449339389801025
ASM,2020,9.463907279986081,10.814986823674152,87.153,,1.090208649635315
ASM,2021,9.58116287157507,10.804156903507327,87.169,,1.0668408870697021
ASM,2022,9.631426860987304,10.786056027005252,87.196,,1.1231739521026611
ATG,2019,9.813203210790132,11.422606806768524,24.506,,0.9380796551704407
ATG,2020,9.846725234645838,11.427868540429868,24.433,,0.9295788407325745
ATG,2021,9.640147346620278,11.433330157198428,24.38,,0.9496698975563049
ATG,2022,9.761267130751799,11.438632860388374,24.346,,0.9380820989608765
AUS,2019,10.954246624334177,17.04769052889935,86.124,5.3,0.9179789423942566
AUS,2020,10.91459200988416,17.06002481141249,86.241,5.159,0.8621618747711182
AUS,2021,10.854982097921178,17.061433762245418,86.362,6.456,0.8350791335105896
AUS,2022,11.012178527854376,17.07416075038318,86.488,5.116,0.9837159514427185
AUT,2019,10.843379081364969,15.999303105918763,58.515,4.933,0.8921890258789062
AUT,2020,10.817495575722525,16.003454873234418,58.748,4.56,0.8876008987426758
AUT,2021,10.793771211040454,16.007811590074983,58.995,5.201,0.899554431438446
AUT,2022,10.890212872176885,16.017374468045748,59.256,6.459,0.6487100124359131
AZE,2019,8.463749019726647,16.120521007402136,56.031,4.9,-0.6934114694595337
AZE,2020,8.477569170218308,16.12736466065602,56.397,5.0,-0.852253794670105
AZE,2021,8.349936148660023,16.131776638014184,56.776,7.24,-0.8378235697746277
AZE,2022,8.595643003736127,16.132171716676563,57.17,6.04,-0.9228072762489319
BDI,2019,5.415653157283721,16.32147199194916,13.366,1.146,-1.625056266784668
BDI,2020,5.348233061458283,16.350558522198984,13.708,1.043,-1.5423520803451538
BDI,2021,5.34714629140678,16.377801076151023,14.058,1.03,-1.2583993673324585
BDI,2022,5.366403285486457,16.404859577042693,14.417,1.118,-1.192446231842041
BEL,2019,10.76821569143367,16.256898873038445,98.041,5.941,0.4583953320980072
BEL,2020,10.751855327791592,16.26120884118944,98.079,5.364,0.5210785269737244
BEL,2021,10.734357370992296,16.265324861154763,98.117,5.545,0.6626825928688049
BEL,2022,10.852404964151159,16.27340651465478,98.153,6.248,0.5819815993309021
BEN,2019,7.049029963843641,16.359217028376385,47.861,1.41,-0.42024025321006775
BEN,2020,7.03069950908468,16.385843015891712,48.415,1.214,-0.4430716633796692
BEN,2021,7.090238711266235,16.41176603264275,48.972,1.502,-0.3963186740875244
BEN,2022,7.184364963974828,16.437240125277015,49.534,1.779,-0.34320268034935
BFA,2019,6.6560394225149215,16.8582195428518,29.98,4.695,-1.3021939992904663
BFA,2020,6.639683760185426,16.88257183878054,30.607,4.71,-1.5379784107208252
BFA,2021,6.715670664802603,16.906336760669376,31.24,5.04,-1.642943263053894
BFA,2022,6.797421627137521,16.929427475408154,31.877,5.2,-1.8153693675994873
BGD,2019,7.583371550868578,18.920928953589563,37.405,4.407,-0.9286287426948547
BGD,2020,7.663782873754543,18.929292061951852,38.177,4.441,-0.9158169031143188
BGD,2021,7.7181746039523444,18.937441841888784,38.946,5.436,-1.036882758140564
BGD,2022,7.81716204199339,18.947684180363453,39.711,5.327,-1.046462059020996
BGR,2019,9.197496752464138,15.705111243643566,75.347,5.211,0.5612844228744507
BGR,2020,9.246942701895515,15.695081861508275,75.686,4.23,0.40163102746009827
BGR,2021,9.284514901980872,15.688435335283392,76.025,5.125,0.3647393584251404
BGR,2022,9.470565221495942,15.681928573942514,76.363,5.267,0.3134286403656006
BHR,2019,10.178251797525215,14.210087268705758,89.394,1.2,-0.626829981803894
BHR,2020,10.213166309019025,14.202271155625196,89.506,1.223,-0.6101046204566956
BHR,2021,10.099993223126496,14.22388144021861,89.622,1.781,-0.5247611999511719
BHR,2022,10.209051599755002,14.237303636282364,89.743,1.541,-0.36290544271469116
BHS,2019,10.393365354323315,12.885817920399928,83.132,10.0,0.8015685677528381
BHS,2020,10.423481131460248,12.888823470782832,83.245,9.336,0.830306887626648
BHS,2021,10.172703435610096,12.890110966101018,83.365,12.027,0.8509685397148132
BHS,2022,10.32114011024299,12.893045805991653,83.492,11.032,0.8812392354011536
BIH,2019,8.707457428548297,15.023136581152773,48.626,18.4,-0.4248116910457611
BIH,2020,8.71970542848646,15.009235734248612,49.02,15.692,-0.4474771320819855
BIH,2021,8.721000815968733,14.992597248233519,49.425,15.868,-0.4217400848865509
BIH,2022,8.894991591319256,14.9801608679574,49.841,14.897,-0.48319369554519653
BLR,2019,8.75778955290672,16.05831995620132,79.044,4.763,0.34497809410095215
BLR,2020,8.830217430787368,16.054085203698524,79.483,4.165,-0.887615978717804
BLR,2021,8.786129015771259,16.045802876489844,79.91,4.049,-0.7542455792427063
BLR,2022,8.921286552060755,16.03776059222104,80.326,3.9,-0.8020966053009033
BLZ,2019,8.70471477059523,12.863149545109835,45.866,7.896,0.06198648363351822
BLZ,2020,8.730698107617082,12.875981904922941,46.025,9.053,0.5186675786972046
BLZ,2021,8.56162982372441,12.88751660983059,46.201,10.784,0.2724660634994507
BLZ,2022,8.719744014189157,12.90602909034079,46.396,10.322,0.5640060901641846
BMU,2019,11.63695404197451,11.068308841314574,100.0,,1.0515190362930298
BMU,2020,11.659602924941447,11.072589369918582,100.0,,1.0034422874450684
BMU,2021,11.580364895395393,11.076712447913284,100.0,,1.0025403499603271
BMU,2022,11.633062010486631,11.07827353542708,100.0,,1.0240437984466553
BOL,2019,8.16072577505613,16.272650763277447,69.773,3.519,-0.7283402681350708
BOL,2020,8.161630774455885,16.284990407544825,70.123,3.682,-0.4534671902656555
BOL,2021,8.039138742084885,16.29518353595366,70.475,7.903,-0.2787742614746094
BOL,2022,8.12706335405287,16.306826126687348,70.83,5.089,-0.1919085532426834
BRA,2019,9.137840821689386,19.15042721917157,86.824,12.329,-0.714224636554718
BRA,2020,9.108289181878517,19.156220726268646,87.073,11.936,-0.4468909204006195
BRA,2021,8.864208763138661,19.160474335340812,87.317,13.697,-0.4198797643184662
BRA,2022,8.98375799590903,19.164076144249535,87.555,13.158,-0.3950369358062744
BRB,2019,9.906279445113087,12.54684633192318,31.158,8.322,1.0329310894012451
BRB,2020,9.932256070674823,12.548590854087752,31.191,8.412,1.1206599473953247
BRB,2021,9.817227397659707,12.550183490698547,31.246,9.777,1.1185704469680786
BRB,2022,9.836106910813177,12.550789374164241,31.324,9.433,1.1446454524993896
