iso_o,iso_d,distw
ABW,ABW,25.09354
ABW,AFG,13168.22
ABW,AGO,9587.316
ABW,AIA,976.8974
ABW,ALB,9091.576
ABW,AND,7570.084
ABW,ANT,239.9064
ABW,ARE,12773.08
ABW,ARG,5187.788
ABW,ARM,11106.96
ABW,ATG,1011.003
ABW,AUS,15670.46
ABW,AUT,8632.971
ABW,AZE,11421.98
ABW,BDI,11138.74
ABW,BEL,7843.255
ABW,BEN,7915.638
ABW,BFA,7348.568
ABW,BGD,15486.16
ABW,BGR,9471.462
ABW,BHR,12296.99
ABW,BHS,1634.515
ABW,BIH,8888.42
ABW,BLR,9417.683
ABW,BLZ,2062.071
ABW,BMU,2275.432
ABW,BOL,3366.758
ABW,BRA,4431.571
ABW,BRB,1127.652
ABW,BRN,18042.75
ABW,BTN,15106.37
ABW,BWA,11178.83
ABW,CAF,9729.201
ABW,CAN,4316.013
ABW,CCK,
ABW,CHE,8074.21
ABW,CHL,5093.852
ABW,CHN,14590.92
ABW,CIV,7194.496
ABW,CMR,8947.104
ABW,COG,9476.891
ABW,COK,10477.74
ABW,COL,929.5887
ABW,COM,12839.0
ABW,CPV,4961.886
ABW,CRI,1572.263
ABW,CUB,1485.848
ABW,CXR,
ABW,CYM,1436.75
ABW,CYP,10398.7
ABW,CZE,8638.355
ABW,DEU,8231.708
ABW,DJI,12175.09
ABW,DMA,984.106
ABW,DNK,8331.917
ABW,DOM,699.2701
ABW,DZA,7710.017
ABW,ECU,1873.77
ABW,EGY,10362.27
ABW,ERI,11668.22
ABW,ESH,6084.671
ABW,ESP,7186.835
ABW,EST,9140.629
ABW,ETH,11800.59
ABW,FIN,9056.373
ABW,FJI,12718.24
ABW,FLK,7245.113
ABW,FRA,7716.752
ABW,FRO,7411.008
ABW,FSM,14778.64
ABW,GAB,8929.761
ABW,GBR,7480.796
ABW,GEO,10965.28
ABW,GHA,7620.656
ABW,GIB,6930.324
ABW,GIN,6247.763
ABW,GLP,999.6449
ABW,GMB,5805.39
ABW,GNB,5917.132
ABW,GNQ,8801.053
ABW,GRC,9457.37
ABW,GRD,902.1115
ABW,GRL,6174.272
ABW,GTM,2252.726
ABW,GUF,2061.801
ABW,GUY,1463.903
ABW,HKG,16132.21
ABW,HND,1921.08
ABW,HRV,8740.689
ABW,HTI,741.5887
ABW,HUN,8940.5
ABW,IDN,19054.85
ABW,IND,14750.66
ABW,IRL,7123.465
ABW,IRN,11939.98
ABW,IRQ,11443.27
ABW,ISL,6857.101
ABW,ISR,10642.42
ABW,ITA,8427.789
ABW,JAM,977.9513
ABW,JOR,10735.08
ABW,JPN,13944.01
ABW,KAZ,12272.97
ABW,KEN,11902.34
ABW,KGZ,12931.08
ABW,KHM,17255.06
ABW,KIR,12784.47
ABW,KNA,1383.822
ABW,KOR,14259.77
ABW,KWT,11920.19
ABW,LAO,16573.99
ABW,LBN,10634.9
ABW,LBR,6573.056
ABW,LBY,8900.735
ABW,LCA,989.2425
ABW,LKA,16049.5
ABW,LSO,11425.88
ABW,LTU,9122.045
ABW,LUX,7957.687
ABW,LVA,9111.286
ABW,MAC,
ABW,MAR,6777.431
ABW,MDA,9653.517
ABW,MDG,13328.07
ABW,MDV,15591.33
ABW,MEX,3516.021
ABW,MHL,13034.27
ABW,MKD,9217.8
ABW,MLI,6799.604
ABW,MLT,8711.66
ABW,MMR,16303.36
ABW,MNG,13300.46
ABW,MNP,15045.63
ABW,MOZ,12049.38
ABW,MRT,5932.266
ABW,MSR,
ABW,MTQ,998.6534
ABW,MUS,14382.7
ABW,MWI,11885.31
ABW,MYS,18042.02
ABW,NAM,10238.2
ABW,NCL,13994.37
ABW,NER,8090.482
ABW,NFK,13783.78
ABW,NGA,8276.091
ABW,NIC,1764.175
ABW,NIU,11492.94
ABW,NLD,7908.407
ABW,NOR,8240.808
ABW,NPL,14806.05
ABW,NRU,13620.23
ABW,NZL,13079.87
ABW,OMN,13071.64
ABW,PAK,13748.66
ABW,PAL,10642.14
ABW,PAN,1182.386
ABW,PCN,
ABW,PER,2758.858
ABW,PHL,16868.52
ABW,PLW,16541.41
ABW,PNG,15932.05
ABW,POL,8884.097
ABW,PRI,764.2043
ABW,PRK,13996.79
ABW,PRT,6626.685
ABW,PRY,4436.56
ABW,PYF,9363.776
ABW,QAT,12418.49
ABW,REU,14168.52
ABW,ROM,9448.061
ABW,RUS,10523.27
ABW,RWA,11138.65
ABW,SAU,11731.11
ABW,SDN,10934.82
ABW,SEN,5733.223
ABW,SGP,18355.23
ABW,SHN,7507.777
ABW,SLB,14593.49
ABW,SLE,6281.981
ABW,SLV,2081.715
ABW,SMR,8454.992
ABW,SOM,12607.73
ABW,SPM,4035.539
ABW,STP,8558.069
ABW,SUR,1873.901
ABW,SVK,8902.049
ABW,SVN,8617.865
ABW,SWE,8587.528
ABW,SWZ,11750.85
ABW,SYC,13976.95
ABW,SYR,10724.01
ABW,TCA,1011.227
ABW,TCD,9341.913
ABW,TGO,7805.2
ABW,THA,16932.43
ABW,TJK,12918.99
ABW,TKL,11479.48
ABW,TKM,12265.08
ABW,TMP,18275.07
ABW,TON,12052.03
ABW,TTO,960.6143
ABW,TUN,8334.208
ABW,TUR,10126.42
ABW,TUV,12533.82
ABW,TWN,15771.77
ABW,TZA,11986.52
ABW,UGA,11347.06
ABW,UKR,9909.713
ABW,URY,5392.856
ABW,USA,3859.885
ABW,UZB,12713.79
ABW,VCT,953.587
ABW,VEN,437.7824
ABW,VGB,879.4905
ABW,VNM,17039.93
ABW,VUT,13796.53
ABW,WLF,12055.93
ABW,WSM,11605.08
ABW,YEM,12205.73
ABW,YUG,9097.525
ABW,ZAF,11325.09
ABW,ZAR,10139.77
ABW,ZMB,11237.0
ABW,ZWE,11528.01
AFG,ABW,13168.22
AFG,AFG,269.5433
AFG,AGO,7573.253
AFG,AIA,12205.45
AFG,ALB,4250.738
AFG,AND,5712.403
AFG,ANT,13004.56
AFG,ARE,1657.193
AFG,ARG,15341.16
AFG,ARM,2171.302
AFG,ATG,12214.32
AFG,AUS,11086.14
AFG,AUT,4567.302
AFG,AZE,1821.719
AFG,BDI,5849.067
AFG,BEL,5331.892
AFG,BEN,7330.657
AFG,BFA,7464.21
AFG,BGD,2488.676
AFG,BGR,3819.043
AFG,BHR,1940.47
AFG,BHS,12427.12
AFG,BIH,4374.743
AFG,BLR,3766.027
AFG,BLZ,13714.66
AFG,BMU,11089.69
AFG,BOL,15100.65
AFG,BRA,13223.75
