Country Name,Country Code,Indicator Code,2019,2020,2021,2022
Africa Eastern and Southern,AFE,NY.GDP.MKTP.CD,1009746517725.4224,933407232177.0778,1085604883589.6544,1191638638185.2542
Africa Western and Central,AFW,NY.GDP.MKTP.CD,833288902800.0247,797295175501.9727,858114511231.4341,893639944629.8606
Arab World,ARB,NY.GDP.MKTP.CD,2949355029586.246,2596422612311.0547,3077906530882.0093,3738584480489.161
Caribbean small states,CSS,NY.GDP.MKTP.CD,61929300627.748825,53180553803.04338,61961705340.77981,78054577760.29762
Central Europe and the Baltics,CEB,NY.GDP.MKTP.CD,1686042070714.2324,1679770251031.9175,1927940096544.028,1956274288914.433
Early-demographic dividend,EAR,NY.GDP.MKTP.CD,11887904124496.508,11039712538107.11,12923331307987.71,14274765147164.729
East Asia & Pacific,EAS,NY.GDP.MKTP.CD,27322078215458.25,27474338351594.12,31548481959790.605,31135994741903.445
East Asia & Pacific (excluding high income),EAP,NY.GDP.MKTP.CD,17503362758566.79,17805361735240.45,21231549654292.715,21563623056097.664
East Asia & Pacific (IDA & IBRD countries),TEA,NY.GDP.MKTP.CD,17481802738366.422,17783399412496.64,21205315189717.12,21536968352299.98
Euro area,EMU,NY.GDP.MKTP.CD,13587001830079.44,13266853301191.703,14918539971043.297,14452407617089.912
Europe & Central Asia,ECS,NY.GDP.MKTP.CD,23032792622187.46,22287615625568.543,25513859723979.145,25700849227224.24
Europe & Central Asia (excluding high income),ECA,NY.GDP.MKTP.CD,1498314108819.45,1437141951950.7517,1670340539745.28,1817993344339.2737
Europe & Central Asia (IDA & IBRD countries),TEC,NY.GDP.MKTP.CD,4175891551192.9214,3916679848494.697,4628696552014.541,5263275218883.389
European Union,EUU,NY.GDP.MKTP.CD,15809298345792.229,15505708717748.916,17498522970845.19,16996087955139.805
Fragile and conflict affected situations,FCS,NY.GDP.MKTP.CD,1850715484889.641,1684325379797.975,1796817600782.906,1976548078585.54
Heavily indebted poor countries (HIPC),HPC,NY.GDP.MKTP.CD,811925263665.5221,820678273818.9348,914476428986.1194,993480176910.2166
High income,HIC,NY.GDP.MKTP.CD,57469453150147.39,56044969561614.29,62927771341457.86,65248657227968.52
