iso3,year,gdp
AFE,2019,989211118718.6342
AFW,2019,847528092552.9489
ARB,2019,2821809796874.481
CSS,2019,61072798241.07938
CEB,2019,1531945519358.0564
EAR,2019,11932031290613.305
EAS,2019,26630793196750.367
EAP,2019,17364521775909.602
TEA,2019,17343087272038.064
EMU,2019,12780480198723.914
ECS,2019,22440577561364.92
ECA,2019,1738238409533.0188
TEC,2019,4111022202772.412
EUU,2019,14877892247998.545
FCS,2019,1789168512110.4
HPC,2019,806474082221.8186
HIC,2019,54382479228802.695
IBD,2019,31309476640443.92
IBT,2019,33834794299488.16
IDB,2019,1242657423053.1094
IDX,2019,1281958081202.0886
IDA,2019,2524615504255.1978
LTE,2019,22818405877222.727
LCN,2019,5629536180649.08
LAC,2019,4743615766088.087
TLA,2019,5406902391048.507
LDC,2019,1114635778028.8074
LMY,2019,30689199023856.605
LIC,2019,391986214253.0657
LMC,2019,6234996041013.078
MEA,2019,3945641478438.196
MNA,2019,2016467655735.4507
TMN,2019,2000638655735.4504
MIC,2019,30296955972479.527
NAC,2019,21863085030606.555
INX,2019,
OED,2019,51872467619138.28
OSS,2019,144564658007.16165
PSS,2019,10188412296.843418
PST,2019,48598450393644.6
PRE,2019,1450231183785.0383
SST,2019,215825868545.0844
SAS,2019,3083030383495.941
TSA,2019,3083030383495.941
SSF,2019,1836739211271.5835
SSA,2019,1745197303952.829
TSS,2019,1836739211271.5828
UMC,2019,24061959931466.45
WLD,2019,85455326836784.83
AFG,2019,21118473702.34708
ALB,2019,13025007474.889467
DZA,2019,202300870247.9198
ASM,2019,628818320.610687
AND,2019,3008967036.9828906
AGO,2019,86262880684.94563
ATG,2019,1692541753.2914398
ARG,2019,571450737224.442
ARM,2019,12867495497.64695
ABW,2019,3229876351.253352
AUS,2019,1492847874023.8855
AUT,2019,413365268699.049
AZE,2019,53599371992.656975
BHS,2019,12281371357.681295
BHR,2019,36906448210.906425
BGD,2019,257958323968.6128
BRB,2019,5361210776.865459
BLR,2019,59040547744.603584
BEL,2019,494099718080.5685
BLZ,2019,2271360752.358222
BEN,2019,14179807374.684252
BMU,2019,6840850356.578485
BTN,2019,2651940022.257868
BOL,2019,38193230080.24631
BIH,2019,18679105433.99119
BWA,2019,16212015760.89989
BRA,2019,1819683217699.381
VGB,2019,
BRN,2019,13278735782.131914
BGR,2019,57196630543.614204
BFA,2019,15030172259.379076
BDI,2019,3207836406.8824778
CPV,2019,2116002110.927555
KHM,2019,33099747942.811
CMR,2019,37502066832.74033
CAN,2019,1696605090551.8445
CYM,2019,5434269977.079907
CAF,2019,1986909345.6139424
TCD,2019,15301773406.822191
CHI,2019,10700107561.567768
CHL,2019,261676645417.276
CHN,2019,14579283528148.377
COL,2019,321405606655.8417
COM,2019,1130604685.4108546
COD,2019,44487659679.01878
COG,2019,10590275024.737988
CRI,2019,64382494195.839294
CIV,2019,59010785540.985695
HRV,2019,57823926882.856575
CUB,2019,91020354637.14745
CUW,2019,2830872612.123547
CYP,2019,25246562822.682083
CZE,2019,217279912681.72952
DNK,2019,332088518944.1457
DJI,2019,3028726927.177009
DMA,2019,585432211.2404132
DOM,2019,88427452425.89441
ECU,2019,103544017315.43484
EGY,2019,398080548973.0524
SLV,2019,25779775126.59928
GNQ,2019,10051326714.932545
ERI,2019,
EST,2019,27307395871.06758
SWZ,2019,4415541767.2297125
ETH,2019,89640011617.7163
FRO,2019,2901879820.0439944
FJI,2019,5215934671.175656
FIN,2019,253433824168.59976
FRA,2019,2608036638906.12
PYF,2019,5944964791.600027
GAB,2019,15460241661.125923
GMB,2019,1677527292.2723289
GEO,2019,18510819818.49567
DEU,2019,3673343090742.6274
GHA,2019,62503939826.8611
GIB,2019,
GRC,2019,206033167050.89474
GRL,2019,2708402650.632366
GRD,2019,1134939081.0314412
GUM,2019,5959409099.181073
GTM,2019,70794725915.27773
GIN,2019,12075307751.683502
GNB,2019,1392924525.826957
GUY,2019,5071030135.731618
HTI,2019,15485274058.24296
HND,2019,24338200129.36719
HKG,2019,331813870172.85406
HUN,2019,148241697677.30377
ISL,2019,20729999825.04456
IND,2019,2689205295885.3105
IDN,2019,1049330233997.452
IRN,2019,435344072056.5437
IRQ,2019,201765390224.3961
IRL,2019,380522433254.0951
IMN,2019,7985161906.362434
ISR,2019,356792803355.8527
ITA,2019,1922107755078.161
JAM,2019,14934129304.137753
JPN,2019,4564332550096.38
JOR,2019,41823826702.47795
KAZ,2019,211106940610.6117
KEN,2019,84264984851.35487
KIR,2019,227422300.1465134
PRK,2019,
KOR,2019,1638146960195.0566
XKX,2019,7547450874.832311
KWT,2019,118077765457.42076
KGZ,2019,7920623120.268602
LAO,2019,18491844275.710567
LVA,2019,29335802338.52588
LBN,2019,46727888410.6848
LSO,2019,2299976266.273457
LBR,2019,3211334057.928275
LBY,2019,60949510655.870834
LIE,2019,
LTU,2019,49002127329.26306
LUX,2019,66707126419.27334
MAC,2019,50961553655.619385
MDG,2019,13186360203.144243
MWI,2019,10842133933.72083
MYS,2019,364602265936.14014
MDV,2019,5460112146.924447
MLI,2019,19167003985.770256
MLT,2019,14876818842.775295
MHL,2019,227200000.0
MRT,2019,7171275534.84383
MUS,2019,13871328044.456886
MEX,2019,1277682077998.636
FSM,2019,333726825.0786815
MDA,2019,9161406662.068958
MCO,2019,7072373236.60927
MNG,2019,14174566537.45549
MNE,2019,4779777587.717707
MAR,2019,123651944968.71307
MOZ,2019,18442825951.879883
MMR,2019,75854734833.60269
NAM,2019,11246291861.58804
NRU,2019,88701305.31527504
NPL,2019,30605298792.544785
NLD,2019,854304699526.719
NCL,2019,
NZL,2019,202429793153.8271
NIC,2019,13096437236.414772
NER,2019,12212475570.63731
NGA,2019,509371727735.74335
MKD,2019,11185494933.69437
MNP,2019,1032436363.6363636
NOR,2019,410249333418.6946
OMN,2019,83053651985.41573
PAK,2019,363242090361.64703
PLW,2019,269381408.0947745
PAN,2019,66072084974.63284
PNG,2019,24719771866.552933
PRY,2019,40677000526.590034
PER,2019,215017545590.31543
PHL,2019,396224439236.6416
POL,2019,577884228677.5436
PRT,2019,221866334950.96744
PRI,2019,96389357184.3707
QAT,2019,167371229300.12753
ROU,2019,218327690029.1698
RUS,2019,1461551317106.208
RWA,2019,11174486378.212494
WSM,2019,936894420.7462124
SMR,2019,1508721722.6040564
STP,2019,303157496.46587336
SAU,2019,748758860045.7899
SEN,2019,22560634320.127007
SRB,2019,47719025212.19808
SYC,2019,1901895701.037152
SLE,2019,8095145458.326863
SGP,2019,349888458531.0857
SXM,2019,1368162086.8271852
SVK,2019,99543529164.30856
SVN,2019,50002578162.67338
SLB,2019,1487659506.797427
SOM,2019,7928267057.802628
ZAF,2019,359483563936.6759
SSD,2019,
ESP,2019,1333521400432.6887
LKA,2019,97149412680.29048
KNA,2019,1046924638.7838142
LCA,2019,1974662679.7946403
MAF,2019,
VCT,2019,863155611.0517595
SDN,2019,51312429477.39505
SUR,2019,5256433828.640602
SWE,2019,546393370721.1162
CHE,2019,747109782755.7936
SYR,2019,15703131995.840157
TJK,2019,10943705646.91047
TZA,2019,60363511324.60043
THA,2019,460212749509.6262
TLS,2019,1957336651.251096
TGO,2019,6859436220.978359
TON,2019,483631266.73067033
TTO,2019,23533735414.60868
TUN,2019,49340470115.96896
TUR,2019,997053346501.186
TKM,2019,45710025794.8484
TCA,2019,1976932863.4109988
TUV,2019,45984984.35882525
UGA,2019,39600047064.27999
UKR,2019,101944118786.8211
ARE,2019,403336245504.4569
GBR,2019,3156963552417.565
USA,2019,20159639089698.133
URY,2019,60329073609.8215
UZB,2019,107444145839.57732
VUT,2019,871926684.7585922
VEN,2019,
VNM,2019,314947640805.6011
VIR,2019,3873124066.168623
PSE,2019,15828999999.999998
YEM,2019,
ZMB,2019,24089861649.015465
ZWE,2019,20720775635.068512
AFE,2020,960921818200.3082
AFW,2020,839187420911.0656
ARB,2020,2687572213332.368
CSS,2020,55507079559.94142
CEB,2020,1481155886225.7134
EAR,2020,11429059854628.234
EAS,2020,26616378301685.445
EAP,2020,17598124771099.82
TEA,2020,17576382690506.049
EMU,2020,12007722379857.97
ECS,2020,21227016942120.223
ECA,2020,1743366626834.2476
TEC,2020,4050935056374.274
EUU,2020,14048682909024.564
FCS,2020,1699267989987.5017
HPC,2020,808405548885.4445
HIC,2020,52275421377053.48
IBD,2020,30918389883811.008
IBT,2020,33422117667115.96
IDB,2020,1225032497318.169
IDX,2020,1277908197614.6523
IDA,2020,2502940694932.822
LTE,2020,22887703956518.82
LCN,2020,5256988958827.011
LAC,2020,4434160816743.516
TLA,2020,5053884455721.685
LDC,2020,1113522295629.7593
LMY,2020,30364678152934.223
LIC,2020,387893223538.741
LMC,2020,6010432229160.705
MEA,2020,3815126319217.228
MNA,2020,1958778991324.6736
TMN,2020,1944741591324.6736
MIC,2020,29976533418754.625
NAC,2020,21341080173865.547
INX,2020,
OED,2020,49848312132779.055
OSS,2020,136183965081.40562
PSS,2020,9154193906.6237
PST,2020,46616190939542.4
PRE,2020,1413461898306.6526
SST,2020,200845238547.97067
SAS,2020,2929264189584.7485
TSA,2020,2929264189584.7485
SSF,2020,1800109239111.3745
SSA,2020,1703358847506.7532
TSS,2020,1800109239111.3745
UMC,2020,23966101189593.92
WLD,2020,83020634205557.36
AFG,2020,20621957125.20773
ALB,2020,12593390460.142029
DZA,2020,192185826737.3729
ASM,2020,656560305.3435115
AND,2020,2672445970.8865747
AGO,2020,81399194250.73006
ATG,2020,1373179832.3413975
ARG,2020,514874343768.0657
ARM,2020,11941035821.918495
ABW,2020,2383266968.9116235
AUS,2020,1491062566266.518
AUT,2020,387247796560.5011
AZE,2020,51348755377.75968
BHS,2020,9814098450.910685
BHR,2020,34724774104.3146
BGD,2020,266852772253.89505
BRB,2020,4554114648.023644
BLR,2020,58643356621.64182
BEL,2020,470417598101.7553
BLZ,2020,1955575509.717013
