iso3,year,MA
NLD,2019,886292091.7817106
SUR,2019,59831594.470220566
EST,2019,270260755.90211433
SDN,2019,83055965.4072139
NER,2019,84581457.57327977
HND,2019,113368675.59429131
IRN,2019,124942153.53143623
BTN,2019,147555636.54928836
VUT,2019,36214647.85470006
JPN,2019,139575181.04157063
CMR,2019,72051234.09670231
SWE,2019,308334317.54096127
BIH,2019,386420438.1753953
GIB,2019,225289432.48017472
GNB,2019,67867957.21615198
NOR,2019,285584069.2892431
POL,2019,388270897.42773926
ZMB,2019,47529293.901965454
GRC,2019,206962328.14606285
THA,2019,114122270.34076995
RUS,2019,114733411.22200611
TUR,2019,163925525.37336814
ISR,2019,186196601.7739153
MNG,2019,160883262.7049376
ATG,2019,83730129.43331842
TON,2019,31156487.848263223
TGO,2019,89927021.32706507
USA,2019,42599355.9345759
KAZ,2019,106273931.20397286
ZWE,2019,46163333.16959835
BEN,2019,92664729.96337858
GRD,2019,79263460.75199717
GRL,2019,100414772.88765222
ALB,2019,287455442.04392993
LBR,2019,63305712.782177635
CHE,2019,638350811.4636085
KGZ,2019,114438280.43569581
MEX,2019,109439304.83979012
TUN,2019,228600186.01865113
VGB,2019,112046776.09049864
AZE,2019,137763234.9050185
GMB,2019,72163563.02111095
SLB,2019,41007524.973689295
MUS,2019,40433380.56466347
CZE,2019,599504157.3249538
UZB,2019,112733189.28531295
TZA,2019,54027365.87613517
PRT,2019,201313898.24659342
MHL,2019,45039593.690094076
SOM,2019,64114210.39549642
VCT,2019,79454512.42112127
SVN,2019,557630368.5625536
KIR,2019,39842708.58835684
LAO,2019,148278422.4420126
CIV,2019,67236073.40546027
MLI,2019,73135425.03895101
HUN,2019,427822461.2906288
IRL,2019,410541644.151222
MRT,2019,75224982.5114977
HRV,2019,462981298.54501617
MDG,2019,41653287.97241892
BEL,2019,1014846230.3122132
BRB,2019,74068594.07559681
LCA,2019,78550324.38674483
SAU,2019,103093564.57346042
JOR,2019,361394086.3572522
SGP,2019,105316622.67437011
ECU,2019,64598717.44952251
YEM,2019,89163397.20005164
UKR,2019,193554259.41434276
ISL,2019,135289331.42106867
CHL,2019,39936106.36463237
NRU,2019,41876312.21249668
ARM,2019,152222512.43426934
BWA,2019,48182811.867585994
TUV,2019,35350178.92443242
BLZ,2019,121454694.63050607
MMR,2019,129548163.09366123
PAN,2019,88124573.93524277
AND,2019,429648920.52009225
AGO,2019,47839415.5528247
ERI,2019,90890036.34312075
AUT,2019,531267437.0711584
FIN,2019,216929818.81621683
KHM,2019,144664574.28108054
BHR,2019,217042115.8847651
CPV,2019,65475673.24902476
DZA,2019,218097485.0866593
NCL,2019,35939757.24971872
AUS,2019,29438350.31074913
RWA,2019,60299360.24055217
FSM,2019,56607384.87012338
KNA,2019,74117491.18557581
GTM,2019,109701000.75733165
LSO,2019,55247981.81602464
ETH,2019,72325052.70449513
AFG,2019,118772531.92720383
COG,2019,55623091.78311844
MWI,2019,47683614.41043466
CYM,2019,117292970.41292834
MLT,2019,221963013.74436536
MKD,2019,280770632.5888488
JAM,2019,106735913.57438101
LUX,2019,1006473876.4109672
EGY,2019,151863904.77979547
DNK,2019,493165159.67828536
NAM,2019,41970274.09593035
DOM,2019,99687520.25660932
DMA,2019,80301356.01691815
CHN,2019,90310078.17880028
LVA,2019,290330623.2245831
MNP,2019,79945442.63979557
OMN,2019,135561636.86966318
PAK,2019,116786665.51909858
LBY,2019,158403052.10716283
FRO,2019,205163864.36291248
MAR,2019,159501520.73311698
SLE,2019,65109581.59618659
DEU,2019,459896644.6346193
BDI,2019,60308463.4103632
PLW,2019,77325611.18305777
HKG,2019,180195980.6012896
CYP,2019,208947395.78173572
ESP,2019,222310972.34774217
CRI,2019,90486195.96875696
MDV,2019,70757876.35690129
SYC,2019,52797592.41355574
TKM,2019,118758054.41556145
MDA,2019,235565983.84439746
TTO,2019,70528189.41016266
VNM,2019,124720006.7375583
PRI,2019,89867461.57488638
NIC,2019,103529933.7945324
HTI,2019,111225167.21967962
QAT,2019,163235124.6868976
ARE,2019,124370024.45682257
KOR,2019,305217238.21978617
VEN,2019,77824753.90652175
NPL,2019,137343889.29418755
MOZ,2019,43778823.024756506
UGA,2019,62755469.20276473
BHS,2019,131973335.0653712
ITA,2019,308529649.83396405
BRN,2019,98244164.49068063
PYF,2019,30447573.296475455
SVK,2019,485317467.9460253
URY,2019,59165370.26760609
KEN,2019,58419155.861504376
GAB,2019,62730903.87624323
MAC,2019,0.0
BRA,2019,37029480.803968295
BLR,2019,251474182.60529447
SMR,2019,558747640.8142986
ABW,2019,85984581.71325976
IRQ,2019,142487803.78320295
LTU,2019,304794500.3768295
WSM,2019,32062904.54335954
GNQ,2019,71294295.02229454
GHA,2019,74815748.38140231
PER,2019,49743010.7330336
PRK,2019,434846525.93545985
ARG,2019,42647856.78738512
BFA,2019,78137502.14208406
COM,2019,47762461.89917471
IDN,2019,66396954.50696944
PNG,2019,47106526.76511493
CAF,2019,65394049.78463684
BOL,2019,50216041.62638524
GIN,2019,65533921.26713789
COL,2019,70658361.21229899
FRA,2019,416470431.3296903
STP,2019,65876620.344991215
CUB,2019,118556084.35024533
GEO,2019,151053817.16440883
IND,2019,81460158.31302613
BMU,2019,113414550.85137421
TCD,2019,75324731.11553894
PHL,2019,110124394.00386731
SWZ,2019,50222450.375670135
CAN,2019,142067731.32501948
PRY,2019,55068193.12316696
KWT,2019,148076671.41577673
SYR,2019,192798515.6773224
NZL,2019,28677810.390655287
SEN,2019,68155319.62084565
BGD,2019,122262525.92322758
LKA,2019,82504185.84768906
TJK,2019,119525025.91361527
GUY,2019,63440556.37567907
BGR,2019,246540438.12980747
ZAF,2019,35077131.78343106
FJI,2019,32905097.221297488
LBN,2019,243104914.32629898
SLV,2019,118173053.46277617
NGA,2019,66052871.83389558
TCA,2019,112557900.5105149
GBR,2019,397004924.38109565
DJI,2019,81552560.81493862
MYS,2019,105502299.87422287
NLD,2020,869145416.8558325
SUR,2020,56998169.513379484
EST,2020,265237592.14998877
SDN,2020,79700760.59905571
NER,2020,81079697.49094243
HND,2020,109429570.5757483
IRN,2020,117849180.68693551
BTN,2020,146591289.53175178
VUT,2020,35470037.429939836
JPN,2020,140418311.84195817
CMR,2020,68737917.03629759
SWE,2020,301222933.5487944
BIH,2020,375184468.7066686
GIB,2020,215345859.87110627
GNB,2020,65523132.559454784
NOR,2020,280933612.9424434
POL,2020,380465561.6088955
ZMB,2020,45534396.799013734
GRC,2020,200302745.45890835
THA,2020,112989660.10820663
RUS,2020,112026137.86665218
TUR,2020,158167706.10520527
ISR,2020,177893196.11397785
MNG,2020,161317628.78238523
ATG,2020,80591102.5120675
TON,2020,30446812.053709928
TGO,2020,86459345.3814018
USA,2020,40429904.32724347
KAZ,2020,103167661.5162049
ZWE,2020,43816268.08208555
BEN,2020,88391108.21866894
GRD,2020,75496400.62341173
GRL,2020,97939158.80582245
ALB,2020,277992595.67468446
LBR,2020,61001651.5739155
CHE,2020,622708609.1183069
KGZ,2020,111082911.98663157
MEX,2020,107520008.71205641
TUN,2020,219736475.63848695
VGB,2020,108285894.42922303
AZE,2020,130073499.24113607
GMB,2020,69942976.2991136
SLB,2020,40285579.20310166
MUS,2020,38980165.974811554
CZE,2020,589828612.0241189
UZB,2020,108643791.74279603
TZA,2020,51985630.94786759
PRT,2020,193401199.96183738
MHL,2020,44393567.23168487
SOM,2020,61633698.90909793
VCT,2020,75586474.46543744
SVN,2020,543879213.6358403
KIR,2020,39183716.7129392
LAO,2020,146406392.50670975
CIV,2020,64662338.71108874
MLI,2020,70493582.59456488
HUN,2020,418862004.0381819
IRL,2020,395876622.23754036
MRT,2020,72529428.88893355
HRV,2020,451050069.45834893
MDG,2020,40017876.40050483
BEL,2020,999748747.5971422
BRB,2020,70823910.15993226
LCA,2020,75203780.95713201
SAU,2020,97824267.49636616
JOR,2020,357509543.2049993
SGP,2020,102057694.81292044
ECU,2020,61185461.568136945
YEM,2020,84545845.47237149
UKR,2020,187205036.3633072
ISL,2020,131803763.29575884
CHL,2020,37159826.455846936
NRU,2020,41218085.86433284
ARM,2020,143844154.53610218
BWA,2020,45325614.47563597
TUV,2020,34668997.79283598
BLZ,2020,117371717.38754357
MMR,2020,127341341.74586225
PAN,2020,84040059.17804766
AND,2020,414838370.3897947
AGO,2020,45779212.1096697
ERI,2020,86594035.49885361
AUT,2020,520661601.2380399
FIN,2020,211752086.47656882
KHM,2020,141727347.34825784
BHR,2020,191813458.4805804
CPV,2020,63019812.540130295
DZA,2020,210156334.1416683
NCL,2020,35140825.10976889
AUS,2020,28834429.2232738
RWA,2020,58268867.02918993
FSM,2020,55976083.94358292
KNA,2020,71494262.90167685
GTM,2020,105332545.5005323
LSO,2020,51145721.723088995
ETH,2020,69019509.95684415
AFG,2020,113927517.43681915
COG,2020,52775737.650212035
MWI,2020,45675325.63594703
CYM,2020,113786260.88545102
MLT,2020,213489179.1658112
MKD,2020,271862021.55230767
JAM,2020,103196320.4809943
LUX,2020,991136365.1189845
EGY,2020,145320520.1418588
DNK,2020,484329506.0000566
NAM,2020,39787324.27201693
DOM,2020,96432420.20723966
DMA,2020,76960048.35553086
CHN,2020,88061227.14351001
LVA,2020,284910031.88799036
MNP,2020,79376274.71959653
OMN,2020,124540032.85262978
PAK,2020,112222690.30355947
LBY,2020,153101063.57882503
FRO,2020,199801445.86125845
MAR,2020,153143933.8488844
SLE,2020,62811160.86459093
DEU,2020,450427366.3744455
BDI,2020,58185318.32518366
PLW,2020,76606606.04130207
HKG,2020,181231843.5044673
CYP,2020,200805457.4798992
ESP,2020,215842912.57628822
CRI,2020,86433810.86089239
MDV,2020,68346858.2431049
SYC,2020,50815132.6731261
TKM,2020,112803323.85538903
MDA,2020,228892829.6745087
TTO,2020,67432692.85344946
VNM,2020,122683734.73482695
PRI,2020,86266567.18939531
NIC,2020,99534268.69825995
HTI,2020,106480652.06693201
QAT,2020,148798827.39150652
ARE,2020,115442765.47696337
KOR,2020,307949753.27074283
VEN,2020,74127726.59661794
NPL,2020,134353828.91156152
MOZ,2020,41759083.90959196
UGA,2020,60507914.532062225
BHS,2020,128740418.10557632
ITA,2020,301712943.41004276
BRN,2020,96437935.28418475
PYF,2020,29664376.55165472
SVK,2020,474803791.64910173
URY,2020,53487134.179989785
KEN,2020,56431033.370362215
GAB,2020,59793190.87690839
MAC,2020,0.0
BRA,2020,35609838.79000154
BLR,2020,245609909.40710497
SMR,2020,540881203.38984
ABW,2020,82109121.33221662
IRQ,2020,133928584.03608963
LTU,2020,298633549.0352131
