iso3,origin_count,destination_count,is_origin,is_destination,number_of_record
AFG,8638,8640,True,True,17278
AGO,8640,8640,True,True,17280
ALB,8640,8640,True,True,17280
AND,8640,8640,True,True,17280
ARE,8640,8640,True,True,17280
ARG,8638,8640,True,True,17278
ARM,8640,8640,True,True,17280
AUS,8640,8640,True,True,17280
AUT,8640,8640,True,True,17280
AZE,8640,8640,True,True,17280
BDI,8640,8640,True,True,17280
BEL,8640,8640,True,True,17280
BEN,8640,8640,True,True,17280
BFA,8640,8640,True,True,17280
BGD,8640,8640,True,True,17280
BGR,8640,8640,True,True,17280
BHR,8640,8640,True,True,17280
BHS,8640,8640,True,True,17280
BIH,8640,8640,True,True,17280
BLR,8640,8640,True,True,17280
BLZ,8640,8640,True,True,17280
BOL,8640,8640,True,True,17280
BRA,8640,8640,True,True,17280
BRB,8640,8640,True,True,17280
BRN,8640,8640,True,True,17280
BTN,8640,8640,True,True,17280
BWA,8640,8640,True,True,17280
CAF,8640,8640,True,True,17280
CAN,8640,8640,True,True,17280
CHE,8640,8640,True,True,17280
CHL,8640,8640,True,True,17280
CIV,8640,8640,True,True,17280
CMR,8640,8640,True,True,17280
COD,8640,8640,True,True,17280
COG,8640,8640,True,True,17280
COL,8640,8640,True,True,17280
COM,8640,8640,True,True,17280
CPV,8640,8640,True,True,17280
CRI,8640,8640,True,True,17280
CYP,8592,8592,True,True,17184
CZE,8640,8640,True,True,17280
DEU,8640,8640,True,True,17280
DJI,8640,8640,True,True,17280
DNK,8640,8640,True,True,17280
DOM,8640,8640,True,True,17280
DZA,8640,8640,True,True,17280
ECU,8640,8640,True,True,17280
EGY,8640,8640,True,True,17280
ERI,8640,8640,True,True,17280
ESP,8640,8640,True,True,17280
EST,8640,8640,True,True,17280
ETH,8640,8640,True,True,17280
FIN,8640,8640,True,True,17280
FJI,8640,8640,True,True,17280
FRA,8640,8640,True,True,17280
FSM,8640,8640,True,True,17280
GAB,8640,8640,True,True,17280
GBR,8640,8640,True,True,17280
GEO,8640,8640,True,True,17280
GHA,8640,8640,True,True,17280
GIN,8640,8640,True,True,17280
GMB,8640,8640,True,True,17280
GNB,8640,8621,True,True,17261
GNQ,8640,8640,True,True,17280
GRC,8592,8592,True,True,17184
GRD,8640,8640,True,True,17280
GTM,8640,8640,True,True,17280
GUY,8640,8640,True,True,17280
HKG,8640,8640,True,True,17280
HND,8640,8640,True,True,17280
HRV,8640,8640,True,True,17280
HTI,8640,8640,True,True,17280
HUN,8640,8640,True,True,17280
IDN,8640,8600,True,True,17240
IND,8592,8592,True,True,17184
IRL,8640,8640,True,True,17280
IRQ,8640,8640,True,True,17280
ISL,8640,8640,True,True,17280
ISR,8592,8592,True,True,17184
ITA,8640,8640,True,True,17280
JAM,8640,8640,True,True,17280
JOR,8640,8640,True,True,17280
JPN,8640,8640,True,True,17280
KAZ,8640,8640,True,True,17280
KEN,8640,8640,True,True,17280
KGZ,8640,8640,True,True,17280
KHM,8640,8614,True,True,17254
KIR,8640,8640,True,True,17280
KOR,8640,8640,True,True,17280
KWT,8640,8640,True,True,17280
LAO,8640,8640,True,True,17280
LBN,8640,8640,True,True,17280
LBR,8640,8640,True,True,17280
LBY,8640,8640,True,True,17280
LCA,8640,8640,True,True,17280
LKA,8640,8640,True,True,17280
LSO,8640,8640,True,True,17280
LTU,8640,8640,True,True,17280
LUX,8640,8640,True,True,17280
LVA,8640,8640,True,True,17280
MAC,8640,8640,True,True,17280
MAR,8640,8640,True,True,17280
MDA,8640,8640,True,True,17280
MDG,8640,8640,True,True,17280
MDV,8640,8640,True,True,17280
MEX,8640,8640,True,True,17280
MKD,8592,8592,True,True,17184
MLI,8640,8640,True,True,17280
MLT,8640,8640,True,True,17280
MMR,8614,8640,True,True,17254
MNE,8640,8640,True,True,17280
MNG,8640,8640,True,True,17280
MOZ,8640,8640,True,True,17280
MRT,8640,8640,True,True,17280
MUS,8640,8640,True,True,17280
MWI,8640,8640,True,True,17280
MYS,8640,8640,True,True,17280
NAM,8640,8640,True,True,17280
NER,8640,8640,True,True,17280
NGA,8640,8640,True,True,17280
NIC,8640,8640,True,True,17280
NLD,8640,8640,True,True,17280
NOR,8640,8640,True,True,17280
NPL,8640,8640,True,True,17280
NZL,8640,8640,True,True,17280
OMN,8640,8640,True,True,17280
PAK,8592,8592,True,True,17184
PAN,8640,8640,True,True,17280
PER,8640,8640,True,True,17280
PHL,8640,8640,True,True,17280
PNG,8640,8640,True,True,17280
POL,8640,8640,True,True,17280
PRT,8640,8640,True,True,17280
PRY,8640,8640,True,True,17280
QAT,8640,8640,True,True,17280
ROU,8640,8640,True,True,17280
RUS,8592,8592,True,True,17184
RWA,8640,8640,True,True,17280
SAU,8640,8640,True,True,17280
SDN,8640,8630,True,True,17270
SEN,8621,8640,True,True,17261
SGP,8640,8640,True,True,17280
SLB,8640,8640,True,True,17280
SLE,8640,8640,True,True,17280
SLV,8640,8640,True,True,17280
SRB,8592,8592,True,True,17184
SSD,8640,8640,True,True,17280
STP,8640,8640,True,True,17280
SUR,8640,8640,True,True,17280
SVK,8640,8640,True,True,17280
SVN,8640,8640,True,True,17280
SWE,8640,8640,True,True,17280
SWZ,8640,8640,True,True,17280
SYR,8582,8587,True,True,17169
TCD,8638,8640,True,True,17278
TGO,8640,8640,True,True,17280
THA,8640,8640,True,True,17280
TJK,8640,8640,True,True,17280
TKM,8640,8640,True,True,17280
TLS,8600,8640,True,True,17240
TON,8640,8640,True,True,17280
TTO,8640,8640,True,True,17280
TUN,8640,8640,True,True,17280
TUR,8590,8592,True,True,17182
TWN,8640,8640,True,True,17280
TZA,8640,8640,True,True,17280
UGA,8633,8630,True,True,17263
UKR,8592,8592,True,True,17184
URY,8640,8640,True,True,17280
USA,8640,8640,True,True,17280
UZB,8640,8640,True,True,17280
VCT,8640,8640,True,True,17280
VEN,8640,8640,True,True,17280
VNM,8640,8640,True,True,17280
VUT,8640,8640,True,True,17280
WSM,8640,8640,True,True,17280
XKX,8592,8592,True,True,17184
YEM,8640,8640,True,True,17280
ZAF,8640,8640,True,True,17280
ZMB,8640,8640,True,True,17280
ZWE,8640,8640,True,True,17280
