country,ISO_A3,date,spei
Afghanistan,AFG,2019-01-16,-0.10182334
Aland,ALA,2019-01-16,-0.5845547
Albania,ALB,2019-01-16,-0.22967805
Algeria,DZA,2019-01-16,-1.0814188
Angola,AGO,2019-01-16,0.09074912
Antarctica,ATA,2019-01-16,
Argentina,ARG,2019-01-16,0.5836947
Armenia,ARM,2019-01-16,1.0363027
Australia,AUS,2019-01-16,-0.6767873
Austria,AUT,2019-01-16,0.3997119
Azerbaijan,AZE,2019-01-16,0.42078257
Bangladesh,BGD,2019-01-16,-0.7984906
Belarus,BLR,2019-01-16,0.0877604
Belgium,BEL,2019-01-16,-0.28694797
Belize,BLZ,2019-01-16,-0.52690655
Benin,BEN,2019-01-16,-1.2309334
Bhutan,BTN,2019-01-16,-0.5044776
Bolivia,BOL,2019-01-16,0.1145545
Bosnia and Herzegovina,BIH,2019-01-16,-0.74671865
Botswana,BWA,2019-01-16,-0.6016498
Brazil,BRA,2019-01-16,-0.11553618
Brunei,BRN,2019-01-16,-0.77071255
Bulgaria,BGR,2019-01-16,0.5554903
Burkina Faso,BFA,2019-01-16,-1.4690838
Burundi,BDI,2019-01-16,0.45430762
Cabo Verde,CPV,2019-01-16,-0.40014565
Cambodia,KHM,2019-01-16,-0.35742763
Cameroon,CMR,2019-01-16,0.0012856253
Canada,CAN,2019-01-16,0.36701372
Cayman Islands,CYM,2019-01-16,
Central African Republic,CAF,2019-01-16,-0.4425374
Chad,TCD,2019-01-16,-0.4856645
Chile,CHL,2019-01-16,-0.3061873
China,CHN,2019-01-16,0.2970199
Colombia,COL,2019-01-16,-0.8541299
Comoros,COM,2019-01-16,-0.6904536
Costa Rica,CRI,2019-01-16,-0.6310586
Croatia,HRV,2019-01-16,-1.0436542
Cuba,CUB,2019-01-16,-0.49769983
Cyprus,CYP,2019-01-16,1.5762076
Czechia,CZE,2019-01-16,0.28035554
Democratic Republic of the Congo,COD,2019-01-16,0.12155283
Denmark,DNK,2019-01-16,-0.7863284
Djibouti,DJI,2019-01-16,-0.67593473
Dominican Republic,DOM,2019-01-16,-1.2693185
East Timor,TLS,2019-01-16,-1.4723969
Ecuador,ECU,2019-01-16,0.5699204
Egypt,EGY,2019-01-16,-0.27481702
El Salvador,SLV,2019-01-16,-1.3473574
Equatorial Guinea,GNQ,2019-01-16,0.38556275
Eritrea,ERI,2019-01-16,-0.40492567
Estonia,EST,2019-01-16,-0.651818
Ethiopia,ETH,2019-01-16,-0.17721514
Falkland Islands,FLK,2019-01-16,-1.0266868
Faroe Islands,FRO,2019-01-16,-0.37071964
Fiji,FJI,2019-01-16,-0.04864553
Finland,FIN,2019-01-16,-0.4958804
France,-99,2019-01-16,-0.30680633
French Polynesia,PYF,2019-01-16,-0.56714064
French Southern and Antarctic Lands,ATF,2019-01-16,-1.2233441
Gabon,GAB,2019-01-16,0.40726104
Gambia,GMB,2019-01-16,-1.3441417
Georgia,GEO,2019-01-16,-0.08914985
Germany,DEU,2019-01-16,-0.089692086
Ghana,GHA,2019-01-16,-1.4353242
Greece,GRC,2019-01-16,0.51346415
Greenland,GRL,2019-01-16,0.61293995
Guatemala,GTM,2019-01-16,-0.11933477
Guinea,GIN,2019-01-16,-1.1589417
Guinea-Bissau,GNB,2019-01-16,-1.5486801
Guyana,GUY,2019-01-16,-1.5020566
Haiti,HTI,2019-01-16,-1.7776701
Honduras,HND,2019-01-16,-1.6594938
Hungary,HUN,2019-01-16,-0.58740914
Iceland,ISL,2019-01-16,1.1498585
India,IND,2019-01-16,-0.16808234
Indonesia,IDN,2019-01-16,0.24631798
Iran,IRN,2019-01-16,0.08598843
Iraq,IRQ,2019-01-16,0.76963055
Ireland,IRL,2019-01-16,0.57323444
Israel,ISR,2019-01-16,0.42522418
Italy,ITA,2019-01-16,-0.88803244
Ivory Coast,CIV,2019-01-16,-0.917051
Jamaica,JAM,2019-01-16,-0.8658481
Japan,JPN,2019-01-16,-1.2727046
Jordan,JOR,2019-01-16,0.6421655
Kazakhstan,KAZ,2019-01-16,0.0017879274
Kenya,KEN,2019-01-16,-0.121781096
Kiribati,KIR,2019-01-16,
Kosovo,-99,2019-01-16,-0.21823806
Kuwait,KWT,2019-01-16,0.43336987
Kyrgyzstan,KGZ,2019-01-16,0.3748812
Laos,LAO,2019-01-16,0.7337365
Latvia,LVA,2019-01-16,-0.36423558
Lebanon,LBN,2019-01-16,1.0998397
Lesotho,LSO,2019-01-16,-2.041933
Liberia,LBR,2019-01-16,-0.24731897
Libya,LBY,2019-01-16,-0.1186913
Lithuania,LTU,2019-01-16,-0.1278843
Luxembourg,LUX,2019-01-16,0.16043182
Madagascar,MDG,2019-01-16,-0.35585007
