spei_iso3,spei,spei_date,year,month
AFG,-0.10182334,2019-01-16,2019,1
ALA,-0.5845547,2019-01-16,2019,1
ALB,-0.22967805,2019-01-16,2019,1
DZA,-1.0814188,2019-01-16,2019,1
AGO,0.09074912,2019-01-16,2019,1
ARG,0.5836947,2019-01-16,2019,1
ARM,1.0363027,2019-01-16,2019,1
AUS,-0.6767873,2019-01-16,2019,1
AUT,0.3997119,2019-01-16,2019,1
AZE,0.42078257,2019-01-16,2019,1
BGD,-0.7984906,2019-01-16,2019,1
BLR,0.0877604,2019-01-16,2019,1
BEL,-0.28694797,2019-01-16,2019,1
BLZ,-0.52690655,2019-01-16,2019,1
BEN,-1.2309334,2019-01-16,2019,1
BTN,-0.5044776,2019-01-16,2019,1
BOL,0.1145545,2019-01-16,2019,1
BIH,-0.74671865,2019-01-16,2019,1
BWA,-0.6016498,2019-01-16,2019,1
BRA,-0.11553618,2019-01-16,2019,1
BRN,-0.77071255,2019-01-16,2019,1
BGR,0.5554903,2019-01-16,2019,1
BFA,-1.4690838,2019-01-16,2019,1
BDI,0.45430762,2019-01-16,2019,1
CPV,-0.40014565,2019-01-16,2019,1
KHM,-0.35742763,2019-01-16,2019,1
CMR,0.0012856253,2019-01-16,2019,1
CAN,0.36701372,2019-01-16,2019,1
CAF,-0.4425374,2019-01-16,2019,1
TCD,-0.4856645,2019-01-16,2019,1
CHL,-0.3061873,2019-01-16,2019,1
CHN,0.2970199,2019-01-16,2019,1
COL,-0.8541299,2019-01-16,2019,1
COM,-0.6904536,2019-01-16,2019,1
CRI,-0.6310586,2019-01-16,2019,1
HRV,-1.0436542,2019-01-16,2019,1
CUB,-0.49769983,2019-01-16,2019,1
CYP,1.5762076,2019-01-16,2019,1
CZE,0.28035554,2019-01-16,2019,1
COD,0.12155283,2019-01-16,2019,1
DNK,-0.7863284,2019-01-16,2019,1
DJI,-0.67593473,2019-01-16,2019,1
DOM,-1.2693185,2019-01-16,2019,1
TLS,-1.4723969,2019-01-16,2019,1
ECU,0.5699204,2019-01-16,2019,1
EGY,-0.27481702,2019-01-16,2019,1
SLV,-1.3473574,2019-01-16,2019,1
GNQ,0.38556275,2019-01-16,2019,1
ERI,-0.40492567,2019-01-16,2019,1
EST,-0.651818,2019-01-16,2019,1
ETH,-0.17721514,2019-01-16,2019,1
FLK,-1.0266868,2019-01-16,2019,1
FRO,-0.37071964,2019-01-16,2019,1
FJI,-0.04864553,2019-01-16,2019,1
FIN,-0.4958804,2019-01-16,2019,1
FRA,-0.30680633,2019-01-16,2019,1
PYF,-0.56714064,2019-01-16,2019,1
ATF,-1.2233441,2019-01-16,2019,1
GAB,0.40726104,2019-01-16,2019,1
GMB,-1.3441417,2019-01-16,2019,1
GEO,-0.08914985,2019-01-16,2019,1
DEU,-0.089692086,2019-01-16,2019,1
GHA,-1.4353242,2019-01-16,2019,1
GRC,0.51346415,2019-01-16,2019,1
GRL,0.61293995,2019-01-16,2019,1
GTM,-0.11933477,2019-01-16,2019,1
GIN,-1.1589417,2019-01-16,2019,1
GNB,-1.5486801,2019-01-16,2019,1
GUY,-1.5020566,2019-01-16,2019,1
HTI,-1.7776701,2019-01-16,2019,1
HND,-1.6594938,2019-01-16,2019,1
HUN,-0.58740914,2019-01-16,2019,1
ISL,1.1498585,2019-01-16,2019,1
IND,-0.16808234,2019-01-16,2019,1
IDN,0.24631798,2019-01-16,2019,1
IRN,0.08598843,2019-01-16,2019,1
IRQ,0.76963055,2019-01-16,2019,1
IRL,0.57323444,2019-01-16,2019,1
ISR,0.42522418,2019-01-16,2019,1
ITA,-0.88803244,2019-01-16,2019,1
CIV,-0.917051,2019-01-16,2019,1
JAM,-0.8658481,2019-01-16,2019,1
JPN,-1.2727046,2019-01-16,2019,1
JOR,0.6421655,2019-01-16,2019,1
KAZ,0.0017879274,2019-01-16,2019,1
KEN,-0.121781096,2019-01-16,2019,1
XKX,-0.21823806,2019-01-16,2019,1
KWT,0.43336987,2019-01-16,2019,1
KGZ,0.3748812,2019-01-16,2019,1
LAO,0.7337365,2019-01-16,2019,1
LVA,-0.36423558,2019-01-16,2019,1
LBN,1.0998397,2019-01-16,2019,1
LSO,-2.041933,2019-01-16,2019,1
LBR,-0.24731897,2019-01-16,2019,1
LBY,-0.1186913,2019-01-16,2019,1
LTU,-0.1278843,2019-01-16,2019,1
LUX,0.16043182,2019-01-16,2019,1
MDG,-0.35585007,2019-01-16,2019,1
MWI,1.0812918,2019-01-16,2019,1
MYS,-0.16647883,2019-01-16,2019,1
MLI,-0.6890494,2019-01-16,2019,1
MRT,-0.46182457,2019-01-16,2019,1
MUS,1.5839245,2019-01-16,2019,1
MEX,0.38025168,2019-01-16,2019,1
MDA,0.94638586,2019-01-16,2019,1
MNG,-1.060161,2019-01-16,2019,1
MNE,-0.19391955,2019-01-16,2019,1
MAR,-1.2413234,2019-01-16,2019,1
MOZ,0.286837,2019-01-16,2019,1
MMR,0.025526252,2019-01-16,2019,1
NAM,-0.29668456,2019-01-16,2019,1
NPL,0.93363285,2019-01-16,2019,1
NLD,-0.67474395,2019-01-16,2019,1
NCL,-0.86467093,2019-01-16,2019,1
NZL,-0.86166203,2019-01-16,2019,1
NIC,-1.7622503,2019-01-16,2019,1
NER,-0.10507703,2019-01-16,2019,1
NGA,-0.09086533,2019-01-16,2019,1
PRK,-0.78325653,2019-01-16,2019,1
MKD,0.03484923,2019-01-16,2019,1
NOR,0.1762639,2019-01-16,2019,1
OMN,-1.3328019,2019-01-16,2019,1
PAK,-0.8878635,2019-01-16,2019,1
PSE,0.40297484,2019-01-16,2019,1
PAN,-0.65598416,2019-01-16,2019,1
PNG,0.17197801,2019-01-16,2019,1
PRY,0.2407671,2019-01-16,2019,1
PER,0.36061656,2019-01-16,2019,1
PHL,-0.19110076,2019-01-16,2019,1
POL,0.07322924,2019-01-16,2019,1
PRT,-0.59805876,2019-01-16,2019,1
PRI,-0.38761613,2019-01-16,2019,1
QAT,-0.21113984,2019-01-16,2019,1
SRB,-0.2798117,2019-01-16,2019,1
COG,0.5139655,2019-01-16,2019,1
ROU,0.949234,2019-01-16,2019,1
RUS,0.1489951,2019-01-16,2019,1
RWA,-0.0013662458,2019-01-16,2019,1
VCT,-1.5584279,2019-01-16,2019,1
WSM,0.33818305,2019-01-16,2019,1
SAU,0.42364115,2019-01-16,2019,1
SEN,-0.9770819,2019-01-16,2019,1
SIA,1.858379,2019-01-16,2019,1
SLE,-0.36724487,2019-01-16,2019,1
SVK,-0.36569637,2019-01-16,2019,1
SVN,-1.119756,2019-01-16,2019,1
SLB,0.07206629,2019-01-16,2019,1
SOM,0.18665783,2019-01-16,2019,1
SOL,-0.18083224,2019-01-16,2019,1
ZAF,-1.810701,2019-01-16,2019,1
SGS,-1.8647346,2019-01-16,2019,1
KOR,-0.64104307,2019-01-16,2019,1
SSD,-0.4472534,2019-01-16,2019,1
ESP,-0.44695657,2019-01-16,2019,1
LKA,-0.91295534,2019-01-16,2019,1
SDN,-0.71291333,2019-01-16,2019,1
SUR,-0.826028,2019-01-16,2019,1
SWE,-0.1838066,2019-01-16,2019,1
CHE,0.06787978,2019-01-16,2019,1
SYR,1.2708364,2019-01-16,2019,1
TWN,0.2390584,2019-01-16,2019,1
TJK,0.6749116,2019-01-16,2019,1
THA,0.1550091,2019-01-16,2019,1
BHS,-0.32459232,2019-01-16,2019,1
TGO,-1.535069,2019-01-16,2019,1
TTO,-2.416236,2019-01-16,2019,1
TUN,-0.8502675,2019-01-16,2019,1
TUR,1.3380558,2019-01-16,2019,1
TKM,0.22854963,2019-01-16,2019,1
UGA,0.29417518,2019-01-16,2019,1
UKR,0.8572409,2019-01-16,2019,1
ARE,0.013769458,2019-01-16,2019,1
GBR,-0.5689841,2019-01-16,2019,1
TZA,0.07342777,2019-01-16,2019,1
VIR,-0.19498008,2019-01-16,2019,1
USA,0.6899689,2019-01-16,2019,1
URY,2.219555,2019-01-16,2019,1
UZB,0.46338657,2019-01-16,2019,1
VUT,-0.021929296,2019-01-16,2019,1
VEN,-0.62917995,2019-01-16,2019,1
VNM,0.24423957,2019-01-16,2019,1
ESH,-0.37241307,2019-01-16,2019,1
YEM,-1.061428,2019-01-16,2019,1
ZMB,0.20863771,2019-01-16,2019,1
ZWE,0.1553532,2019-01-16,2019,1
SWZ,-1.9552495,2019-01-16,2019,1
AFG,0.16538179,2019-02-15,2019,2
ALA,0.28004837,2019-02-15,2019,2
ALB,-0.47016254,2019-02-15,2019,2
DZA,-1.2537508,2019-02-15,2019,2
AGO,0.07559092,2019-02-15,2019,2
ARG,-0.14190923,2019-02-15,2019,2
ARM,1.6398523,2019-02-15,2019,2
AUS,-1.048422,2019-02-15,2019,2
AUT,0.5178075,2019-02-15,2019,2
AZE,0.74617064,2019-02-15,2019,2
BGD,1.1792088,2019-02-15,2019,2
BLR,0.2755166,2019-02-15,2019,2
BEL,0.011934126,2019-02-15,2019,2
BLZ,-0.7078858,2019-02-15,2019,2
BEN,-0.6726852,2019-02-15,2019,2
BTN,0.9822577,2019-02-15,2019,2
BOL,-0.45051655,2019-02-15,2019,2
BIH,-1.0426068,2019-02-15,2019,2
BWA,-0.32629177,2019-02-15,2019,2
BRA,-0.30097842,2019-02-15,2019,2
BRN,-0.9942771,2019-02-15,2019,2
BGR,-0.30531394,2019-02-15,2019,2
BFA,-0.89592314,2019-02-15,2019,2
BDI,-0.036204435,2019-02-15,2019,2
CPV,-0.50758356,2019-02-15,2019,2
KHM,-0.33121607,2019-02-15,2019,2
CMR,0.12727046,2019-02-15,2019,2
CAN,0.32862702,2019-02-15,2019,2
CAF,-0.79600614,2019-02-15,2019,2
TCD,-1.1018106,2019-02-15,2019,2
CHL,-0.6254133,2019-02-15,2019,2
CHN,0.18078808,2019-02-15,2019,2
COL,-1.0076214,2019-02-15,2019,2
COM,-0.8755826,2019-02-15,2019,2
CRI,-0.5823756,2019-02-15,2019,2
HRV,-1.2906017,2019-02-15,2019,2
CUB,-0.18816328,2019-02-15,2019,2
CYP,1.5948972,2019-02-15,2019,2
CZE,0.1154935,2019-02-15,2019,2
COD,0.095151186,2019-02-15,2019,2
DNK,0.02804983,2019-02-15,2019,2
DJI,-0.9962245,2019-02-15,2019,2
DOM,-0.75978637,2019-02-15,2019,2
TLS,-2.233224,2019-02-15,2019,2
ECU,0.5172599,2019-02-15,2019,2
EGY,-0.23068024,2019-02-15,2019,2
SLV,-1.1076462,2019-02-15,2019,2
GNQ,-0.52142924,2019-02-15,2019,2
ERI,-0.79744947,2019-02-15,2019,2
EST,0.5443364,2019-02-15,2019,2
ETH,-0.7854059,2019-02-15,2019,2
FLK,-0.41971844,2019-02-15,2019,2
FRO,-0.14996319,2019-02-15,2019,2
FJI,-0.87695754,2019-02-15,2019,2
FIN,0.78088164,2019-02-15,2019,2
FRA,-0.9086028,2019-02-15,2019,2
PYF,0.09583926,2019-02-15,2019,2
ATF,1.193893,2019-02-15,2019,2
GAB,0.17160751,2019-02-15,2019,2
GMB,-1.2544765,2019-02-15,2019,2
GEO,0.30207598,2019-02-15,2019,2
DEU,0.17633824,2019-02-15,2019,2
GHA,-0.8538937,2019-02-15,2019,2
GRC,0.29170033,2019-02-15,2019,2
GRL,0.46528652,2019-02-15,2019,2
GTM,-0.652537,2019-02-15,2019,2
GIN,-0.56920105,2019-02-15,2019,2
GNB,-1.0288124,2019-02-15,2019,2
GUY,-1.2697829,2019-02-15,2019,2
HTI,-1.48192,2019-02-15,2019,2
HND,-0.71620417,2019-02-15,2019,2
HUN,-0.82422334,2019-02-15,2019,2
ISL,0.85344106,2019-02-15,2019,2
IND,0.34374827,2019-02-15,2019,2
IDN,-0.25214997,2019-02-15,2019,2
IRN,-0.042322237,2019-02-15,2019,2
IRQ,-0.15673073,2019-02-15,2019,2
IRL,-0.24225731,2019-02-15,2019,2
ISR,0.8548709,2019-02-15,2019,2
ITA,-1.0528588,2019-02-15,2019,2
CIV,-0.5452693,2019-02-15,2019,2
JAM,-0.3825291,2019-02-15,2019,2
JPN,-0.95954806,2019-02-15,2019,2
JOR,0.9828677,2019-02-15,2019,2
