country,date,spei
Afghanistan,2019-01-16,-0.10182334
Aland,2019-01-16,-0.5845547
Albania,2019-01-16,-0.22967805
Algeria,2019-01-16,-1.0814188
Angola,2019-01-16,0.09074912
Antarctica,2019-01-16,
Argentina,2019-01-16,0.5836947
Armenia,2019-01-16,1.0363027
Australia,2019-01-16,-0.6767873
Austria,2019-01-16,0.3997119
Azerbaijan,2019-01-16,0.42078257
Bangladesh,2019-01-16,-0.7984906
Belarus,2019-01-16,0.0877604
Belgium,2019-01-16,-0.28694797
Belize,2019-01-16,-0.52690655
Benin,2019-01-16,-1.2309334
Bhutan,2019-01-16,-0.5044776
Bolivia,2019-01-16,0.1145545
Bosnia and Herzegovina,2019-01-16,-0.74671865
Botswana,2019-01-16,-0.6016498
Brazil,2019-01-16,-0.11553618
Brunei,2019-01-16,-0.77071255
Bulgaria,2019-01-16,0.5554903
Burkina Faso,2019-01-16,-1.4690838
Burundi,2019-01-16,0.45430762
Cabo Verde,2019-01-16,-0.40014565
Cambodia,2019-01-16,-0.35742763
Cameroon,2019-01-16,0.0012856253
Canada,2019-01-16,0.36701372
Cayman Islands,2019-01-16,
Central African Republic,2019-01-16,-0.4425374
Chad,2019-01-16,-0.4856645
Chile,2019-01-16,-0.3061873
China,2019-01-16,0.2970199
Colombia,2019-01-16,-0.8541299
Comoros,2019-01-16,-0.6904536
Costa Rica,2019-01-16,-0.6310586
Croatia,2019-01-16,-1.0436542
Cuba,2019-01-16,-0.49769983
Cyprus,2019-01-16,1.5762076
Czechia,2019-01-16,0.28035554
Democratic Republic of the Congo,2019-01-16,0.12155283
Denmark,2019-01-16,-0.7863284
Djibouti,2019-01-16,-0.67593473
Dominican Republic,2019-01-16,-1.2693185
East Timor,2019-01-16,-1.4723969
Ecuador,2019-01-16,0.5699204
Egypt,2019-01-16,-0.27481702
El Salvador,2019-01-16,-1.3473574
Equatorial Guinea,2019-01-16,0.38556275
Eritrea,2019-01-16,-0.40492567
Estonia,2019-01-16,-0.651818
Ethiopia,2019-01-16,-0.17721514
Falkland Islands,2019-01-16,-1.0266868
Faroe Islands,2019-01-16,-0.37071964
Fiji,2019-01-16,-0.04864553
Finland,2019-01-16,-0.4958804
France,2019-01-16,-0.30680633
French Polynesia,2019-01-16,-0.56714064
French Southern and Antarctic Lands,2019-01-16,-1.2233441
Gabon,2019-01-16,0.40726104
Gambia,2019-01-16,-1.3441417
Georgia,2019-01-16,-0.08914985
Germany,2019-01-16,-0.089692086
Ghana,2019-01-16,-1.4353242
Greece,2019-01-16,0.51346415
Greenland,2019-01-16,0.61293995
Guatemala,2019-01-16,-0.11933477
Guinea,2019-01-16,-1.1589417
Guinea-Bissau,2019-01-16,-1.5486801
Guyana,2019-01-16,-1.5020566
Haiti,2019-01-16,-1.7776701
Honduras,2019-01-16,-1.6594938
Hungary,2019-01-16,-0.58740914
Iceland,2019-01-16,1.1498585
India,2019-01-16,-0.16808234
Indonesia,2019-01-16,0.24631798
Iran,2019-01-16,0.08598843
Iraq,2019-01-16,0.76963055
Ireland,2019-01-16,0.57323444
Israel,2019-01-16,0.42522418
Italy,2019-01-16,-0.88803244
Ivory Coast,2019-01-16,-0.917051
Jamaica,2019-01-16,-0.8658481
Japan,2019-01-16,-1.2727046
Jordan,2019-01-16,0.6421655
Kazakhstan,2019-01-16,0.0017879274
Kenya,2019-01-16,-0.121781096
Kiribati,2019-01-16,
Kosovo,2019-01-16,-0.21823806
Kuwait,2019-01-16,0.43336987
Kyrgyzstan,2019-01-16,0.3748812
Laos,2019-01-16,0.7337365
Latvia,2019-01-16,-0.36423558
Lebanon,2019-01-16,1.0998397
Lesotho,2019-01-16,-2.041933
Liberia,2019-01-16,-0.24731897
Libya,2019-01-16,-0.1186913
Lithuania,2019-01-16,-0.1278843
Luxembourg,2019-01-16,0.16043182
Madagascar,2019-01-16,-0.35585007
Malawi,2019-01-16,1.0812918
Malaysia,2019-01-16,-0.16647883
Mali,2019-01-16,-0.6890494
Mauritania,2019-01-16,-0.46182457
Mauritius,2019-01-16,1.5839245
Mexico,2019-01-16,0.38025168
Moldova,2019-01-16,0.94638586
Mongolia,2019-01-16,-1.060161
Montenegro,2019-01-16,-0.19391955
Morocco,2019-01-16,-1.2413234
Mozambique,2019-01-16,0.286837
Myanmar,2019-01-16,0.025526252
Namibia,2019-01-16,-0.29668456
Nepal,2019-01-16,0.93363285
Netherlands,2019-01-16,-0.67474395
New Caledonia,2019-01-16,-0.86467093
New Zealand,2019-01-16,-0.86166203
Nicaragua,2019-01-16,-1.7622503
