country,ISO_A3,spei,date
Afghanistan,AFG,-0.10182334,2019-01-16
Aland,ALA,-0.5845547,2019-01-16
Albania,ALB,-0.22967805,2019-01-16
Algeria,DZA,-1.0814188,2019-01-16
Angola,AGO,0.09074912,2019-01-16
Argentina,ARG,0.5836947,2019-01-16
Armenia,ARM,1.0363027,2019-01-16
Australia,AUS,-0.6767873,2019-01-16
Austria,AUT,0.3997119,2019-01-16
Azerbaijan,AZE,0.42078257,2019-01-16
Bangladesh,BGD,-0.7984906,2019-01-16
Belarus,BLR,0.0877604,2019-01-16
Belgium,BEL,-0.28694797,2019-01-16
Belize,BLZ,-0.52690655,2019-01-16
Benin,BEN,-1.2309334,2019-01-16
Bhutan,BTN,-0.5044776,2019-01-16
Bolivia,BOL,0.1145545,2019-01-16
Bosnia and Herzegovina,BIH,-0.74671865,2019-01-16
Botswana,BWA,-0.6016498,2019-01-16
Brazil,BRA,-0.11553618,2019-01-16
Brunei,BRN,-0.77071255,2019-01-16
Bulgaria,BGR,0.5554903,2019-01-16
Burkina Faso,BFA,-1.4690838,2019-01-16
Burundi,BDI,0.45430762,2019-01-16
Cabo Verde,CPV,-0.40014565,2019-01-16
Cambodia,KHM,-0.35742763,2019-01-16
Cameroon,CMR,0.0012856253,2019-01-16
Canada,CAN,0.36701372,2019-01-16
Central African Republic,CAF,-0.4425374,2019-01-16
Chad,TCD,-0.4856645,2019-01-16
Chile,CHL,-0.3061873,2019-01-16
China,CHN,0.2970199,2019-01-16
Colombia,COL,-0.8541299,2019-01-16
Comoros,COM,-0.6904536,2019-01-16
Costa Rica,CRI,-0.6310586,2019-01-16
Croatia,HRV,-1.0436542,2019-01-16
Cuba,CUB,-0.49769983,2019-01-16
Cyprus,CYP,1.5762076,2019-01-16
Czechia,CZE,0.28035554,2019-01-16
Democratic Republic of the Congo,COD,0.12155283,2019-01-16
Denmark,DNK,-0.7863284,2019-01-16
Djibouti,DJI,-0.67593473,2019-01-16
Dominican Republic,DOM,-1.2693185,2019-01-16
East Timor,TLS,-1.4723969,2019-01-16
Ecuador,ECU,0.5699204,2019-01-16
Egypt,EGY,-0.27481702,2019-01-16
El Salvador,SLV,-1.3473574,2019-01-16
Equatorial Guinea,GNQ,0.38556275,2019-01-16
Eritrea,ERI,-0.40492567,2019-01-16
Estonia,EST,-0.651818,2019-01-16
Ethiopia,ETH,-0.17721514,2019-01-16
Falkland Islands,FLK,-1.0266868,2019-01-16
Faroe Islands,FRO,-0.37071964,2019-01-16
Fiji,FJI,-0.04864553,2019-01-16
Finland,FIN,-0.4958804,2019-01-16
France,FRA,-0.30680633,2019-01-16
French Polynesia,PYF,-0.56714064,2019-01-16
French Southern and Antarctic Lands,ATF,-1.2233441,2019-01-16
Gabon,GAB,0.40726104,2019-01-16
Gambia,GMB,-1.3441417,2019-01-16
Georgia,GEO,-0.08914985,2019-01-16
Germany,DEU,-0.089692086,2019-01-16
Ghana,GHA,-1.4353242,2019-01-16
Greece,GRC,0.51346415,2019-01-16
Greenland,GRL,0.61293995,2019-01-16
Guatemala,GTM,-0.11933477,2019-01-16
Guinea,GIN,-1.1589417,2019-01-16
Guinea-Bissau,GNB,-1.5486801,2019-01-16
Guyana,GUY,-1.5020566,2019-01-16
Haiti,HTI,-1.7776701,2019-01-16
Honduras,HND,-1.6594938,2019-01-16
Hungary,HUN,-0.58740914,2019-01-16
Iceland,ISL,1.1498585,2019-01-16
India,IND,-0.16808234,2019-01-16
Indonesia,IDN,0.24631798,2019-01-16
Iran,IRN,0.08598843,2019-01-16
Iraq,IRQ,0.76963055,2019-01-16
Ireland,IRL,0.57323444,2019-01-16
Israel,ISR,0.42522418,2019-01-16
Italy,ITA,-0.88803244,2019-01-16
Ivory Coast,CIV,-0.917051,2019-01-16
Jamaica,JAM,-0.8658481,2019-01-16
Japan,JPN,-1.2727046,2019-01-16
Jordan,JOR,0.6421655,2019-01-16
Kazakhstan,KAZ,0.0017879274,2019-01-16
Kenya,KEN,-0.121781096,2019-01-16
Kosovo,XKX,-0.21823806,2019-01-16
Kuwait,KWT,0.43336987,2019-01-16
Kyrgyzstan,KGZ,0.3748812,2019-01-16
Laos,LAO,0.7337365,2019-01-16
Latvia,LVA,-0.36423558,2019-01-16
Lebanon,LBN,1.0998397,2019-01-16
Lesotho,LSO,-2.041933,2019-01-16
Liberia,LBR,-0.24731897,2019-01-16
Libya,LBY,-0.1186913,2019-01-16
Lithuania,LTU,-0.1278843,2019-01-16
Luxembourg,LUX,0.16043182,2019-01-16
Madagascar,MDG,-0.35585007,2019-01-16
Malawi,MWI,1.0812918,2019-01-16
Malaysia,MYS,-0.16647883,2019-01-16
Mali,MLI,-0.6890494,2019-01-16
Mauritania,MRT,-0.46182457,2019-01-16
Mauritius,MUS,1.5839245,2019-01-16
Mexico,MEX,0.38025168,2019-01-16
Moldova,MDA,0.94638586,2019-01-16
Mongolia,MNG,-1.060161,2019-01-16
Montenegro,MNE,-0.19391955,2019-01-16
Morocco,MAR,-1.2413234,2019-01-16
Mozambique,MOZ,0.286837,2019-01-16
Myanmar,MMR,0.025526252,2019-01-16
Namibia,NAM,-0.29668456,2019-01-16
Nepal,NPL,0.93363285,2019-01-16
Netherlands,NLD,-0.67474395,2019-01-16
New Caledonia,NCL,-0.86467093,2019-01-16
New Zealand,NZL,-0.86166203,2019-01-16
Nicaragua,NIC,-1.7622503,2019-01-16
Niger,NER,-0.10507703,2019-01-16
Nigeria,NGA,-0.09086533,2019-01-16
North Korea,PRK,-0.78325653,2019-01-16
North Macedonia,MKD,0.03484923,2019-01-16
Norway,NOR,0.1762639,2019-01-16
Oman,OMN,-1.3328019,2019-01-16
Pakistan,PAK,-0.8878635,2019-01-16
Palestine,PSE,0.40297484,2019-01-16
Panama,PAN,-0.65598416,2019-01-16
Papua New Guinea,PNG,0.17197801,2019-01-16
Paraguay,PRY,0.2407671,2019-01-16
Peru,PER,0.36061656,2019-01-16
Philippines,PHL,-0.19110076,2019-01-16
Poland,POL,0.07322924,2019-01-16
Portugal,PRT,-0.59805876,2019-01-16
Puerto Rico,PRI,-0.38761613,2019-01-16
Qatar,QAT,-0.21113984,2019-01-16
Republic of Serbia,SRB,-0.2798117,2019-01-16
Republic of the Congo,COG,0.5139655,2019-01-16
Romania,ROU,0.949234,2019-01-16
Russia,RUS,0.1489951,2019-01-16
Rwanda,RWA,-0.0013662458,2019-01-16
Saint Vincent and the Grenadines,VCT,-1.5584279,2019-01-16
Samoa,WSM,0.33818305,2019-01-16
Saudi Arabia,SAU,0.42364115,2019-01-16
Senegal,SEN,-0.9770819,2019-01-16
Siachen Glacier,SIA,1.858379,2019-01-16
Sierra Leone,SLE,-0.36724487,2019-01-16
Slovakia,SVK,-0.36569637,2019-01-16
Slovenia,SVN,-1.119756,2019-01-16
Solomon Islands,SLB,0.07206629,2019-01-16
Somalia,SOM,0.18665783,2019-01-16
Somaliland,SOL,-0.18083224,2019-01-16
South Africa,ZAF,-1.810701,2019-01-16
South Georgia and the Islands,SGS,-1.8647346,2019-01-16
South Korea,KOR,-0.64104307,2019-01-16
South Sudan,SSD,-0.4472534,2019-01-16
Spain,ESP,-0.44695657,2019-01-16
Sri Lanka,LKA,-0.91295534,2019-01-16
Sudan,SDN,-0.71291333,2019-01-16
Suriname,SUR,-0.826028,2019-01-16
Sweden,SWE,-0.1838066,2019-01-16
Switzerland,CHE,0.06787978,2019-01-16
Syria,SYR,1.2708364,2019-01-16
Taiwan,TWN,0.2390584,2019-01-16
Tajikistan,TJK,0.6749116,2019-01-16
Thailand,THA,0.1550091,2019-01-16
The Bahamas,BHS,-0.32459232,2019-01-16
Togo,TGO,-1.535069,2019-01-16
Trinidad and Tobago,TTO,-2.416236,2019-01-16
